product_id,product_name,img_url,category,currency,price,standardised_price_eur,color,fit,composition,gender,country,region,brand_name,shop,sizes,standard_sizes,min_size,max_size,style label,material quality label,XXS,XS,S,M,L,XL,2XL,3XL,4XL,5XL,6XL
204359488,Armani Exchange straight jeans in mid wash blue,images.asos-media.com/products/armani-exchange-straight-jeans-in-mid-wash-blue/204359488-1-blue,jeans,USD,63,58.59,blue,None, cotton   elastane,male,usa,usa,Armani Exchange,Asos,"W28, W30, W32, W34, W36, W38",M/ L/ XS/ XL/ S/2XL,XS,2XL,casual,medium,0,1,1,1,1,1,1,0,0,0,0
204359368,Armani Exchange straight jeans in light wash blue,images.asos-media.com/products/armani-exchange-straight-jeans-in-light-wash-blue/204359368-1-blue,jeans,USD,72,66.96,blue,None, cotton   lyocell   linen,male,usa,usa,Armani Exchange,Asos,"W28, W30, W32, W36",XS/ XL/ M/ S,XS,XL,casual,medium,0,1,1,1,0,1,0,0,0,0,0
204359128,Armani Exchange overshirt in navy,images.asos-media.com/products/armani-exchange-overshirt-in-navy/204359128-1-navy,shirts,USD,200,186,navy,regular fit, polyamide,male,usa,usa,Armani Exchange,Asos,"S, M, L, XL", S/ XL/ L/M,S,XL,casual,medium,0,0,1,1,1,1,0,0,0,0,0
204194009,Armani Exchange cargo pants in black,images.asos-media.com/products/armani-exchange-cargo-pants-in-black/204194009-1-black,pants,USD,160,148.8,black,regular fit, cotton   polyamide   elastane,male,usa,usa,Armani Exchange,Asos,"W28, W30, W32, W34, W36, W38",M/ L/ XS/ XL/ S/2XL,XS,2XL,basic,medium,0,1,1,1,1,1,1,0,0,0,0
204194029,Armani Exchange slim fit jeans in gray,images.asos-media.com/products/armani-exchange-slim-fit-jeans-in-gray/204194029-1-grey,jeans,USD,160,148.8,gray,slim fit, cotton   elastane,male,usa,usa,Armani Exchange,Asos,"W28, W30, W32, W34, W36, W38",M/ L/ XS/ XL/ S/2XL,XS,2XL,casual,medium,0,1,1,1,1,1,1,0,0,0,0
202545797,Armani Exchange diamond text logo print T-shirt in white,images.asos-media.com/products/armani-exchange-diamond-text-logo-print-t-shirt-in-white/202545797-1-white,tshirts,USD,72,66.96,white,regular fit, cotton,male,usa,usa,Armani Exchange,Asos,"XS, XL",XS/ XL,XS,XL,basic,low,0,1,0,0,0,1,0,0,0,0,0
203803330,Armani Exchange box logo sweatshirt in gray,images.asos-media.com/products/armani-exchange-box-logo-sweatshirt-in-gray/203803330-1-grey,tshirts,USD,226,210.18,gray,regular fit, polyester   cotton,male,usa,usa,Armani Exchange,Asos,"XS, S, M, L, XL",L/ M/ XS/ XL/ S,XS,XL,casual,medium,0,1,1,1,1,1,0,0,0,0,0
203803430,Armani Exchange side logo sweatshirt in navy,images.asos-media.com/products/armani-exchange-side-logo-sweatshirt-in-navy/203803430-1-navy,tshirts,USD,102.06,94.916,navy,oversized fit, viscose   polyamide   elastane,male,usa,usa,Armani Exchange,Asos,"XS, S, M, L, XL",L/ M/ XS/ XL/ S,XS,XL,casual,high,0,1,1,1,1,1,0,0,0,0,0
203765874,Armani Exchange text logo T-shirt in gray,images.asos-media.com/products/armani-exchange-text-logo-t-shirt-in-gray/203765874-1-grey,tshirts,USD,61,56.73,gray,None, cotton,male,usa,usa,Armani Exchange,Asos,"XS, S, M, L, XL, 2XL",M/ L/ XS/ XL/ S/2XL,XS,2XL,casual,high,0,1,1,1,1,1,1,0,0,0,0
203803332,Armani Exchange color block relaxed fit T-shirt in pink,images.asos-media.com/products/armani-exchange-color-block-relaxed-fit-t-shirt-in-pink/203803332-1-pink,tshirts,USD,46.36,43.115,pink,oversized fit, cotton,male,usa,usa,Armani Exchange,Asos,"XS, S, M, L, XL",L/ M/ XS/ XL/ S,XS,XL,casual,medium,0,1,1,1,1,1,0,0,0,0,0
203803351,Armani Exchange oversized logo T-shirt in gray,images.asos-media.com/products/armani-exchange-oversized-logo-t-shirt-in-gray/203803351-1-grey,tshirts,USD,50.85,47.291,gray,oversized fit, cotton,male,usa,usa,Armani Exchange,Asos,"XS, S, M, L, XL",L/ M/ XS/ XL/ S,XS,XL,casual,medium,0,1,1,1,1,1,0,0,0,0,0
202545745,Armani Exchange cargo pocket shirt in navy,images.asos-media.com/products/armani-exchange-cargo-pocket-shirt-in-navy/202545745-1-navy,shirts,USD,68,63.24,navy,regular fit, cotton   polyamide   elastane,male,usa,usa,Armani Exchange,Asos,"XS, S, M, L, XL, 2XL",M/ L/ XS/ XL/ S/2XL,XS,2XL,formal,medium,0,1,1,1,1,1,1,0,0,0,0
202545708,Armani Exchange lightweight small logo jacket in black,images.asos-media.com/products/armani-exchange-lightweight-small-logo-jacket-in-black/202545708-1-black,jackets,USD,94.92,88.276,black,regular fit, polyester,male,usa,usa,Armani Exchange,Asos,"XS, S, M, L, XL",L/ M/ XS/ XL/ S,XS,XL,casual,medium,0,1,1,1,1,1,0,0,0,0,0
202289958,Armani Exchange jersey shirt with small logo in black,images.asos-media.com/products/armani-exchange-jersey-shirt-with-small-logo-in-black/202289958-1-black,shirts,USD,84,78.12,black,regular fit, cotton,male,usa,usa,Armani Exchange,Asos,"XS, S, M, L, XL",L/ M/ XS/ XL/ S,XS,XL,formal,high,0,1,1,1,1,1,0,0,0,0,0
202289985,Armani Exchange J13 slim jeans in mid wash,images.asos-media.com/products/armani-exchange-j13-slim-jeans-in-mid-wash/202289985-1-blue,jeans,USD,105.5,98.115,blue,slim fit, cotton   polyester   elastane,male,usa,usa,Armani Exchange,Asos,"W28, W30, W32, W34, W36",L/ M/ XS/ XL/ S,XS,XL,casual,medium,0,1,1,1,1,1,0,0,0,0,0
